date,value,series_id
1996-12-31,3.13,BAMLH0A0HYM2
1997-01-01,,BAMLH0A0HYM2
1997-01-02,3.06,BAMLH0A0HYM2
1997-01-03,3.09,BAMLH0A0HYM2
1997-01-06,3.1,BAMLH0A0HYM2
1997-01-07,3.1,BAMLH0A0HYM2
1997-01-08,3.07,BAMLH0A0HYM2
1997-01-09,3.13,BAMLH0A0HYM2
1997-01-10,3.16,BAMLH0A0HYM2
1997-01-13,3.04,BAMLH0A0HYM2
1997-01-14,3.09,BAMLH0A0HYM2
1997-01-15,3.07,BAMLH0A0HYM2
1997-01-16,3.02,BAMLH0A0HYM2
1997-01-17,3.04,BAMLH0A0HYM2
1997-01-20,3.03,BAMLH0A0HYM2
1997-01-21,3.05,BAMLH0A0HYM2
1997-01-22,2.99,BAMLH0A0HYM2
1997-01-23,2.97,BAMLH0A0HYM2
1997-01-24,2.94,BAMLH0A0HYM2
1997-01-27,2.9,BAMLH0A0HYM2
1997-01-28,2.92,BAMLH0A0HYM2
1997-01-29,2.94,BAMLH0A0HYM2
1997-01-30,2.97,BAMLH0A0HYM2
1997-01-31,3.04,BAMLH0A0HYM2
1997-02-03,3.08,BAMLH0A0HYM2
1997-02-04,3.08,BAMLH0A0HYM2
1997-02-05,3.05,BAMLH0A0HYM2
1997-02-06,3.03,BAMLH0A0HYM2
1997-02-07,3.06,BAMLH0A0HYM2
1997-02-10,3.04,BAMLH0A0HYM2
1997-02-11,3.03,BAMLH0A0HYM2
1997-02-12,3.01,BAMLH0A0HYM2
1997-02-13,3.04,BAMLH0A0HYM2
1997-02-14,3.05,BAMLH0A0HYM2
1997-02-17,,BAMLH0A0HYM2
1997-02-18,3.01,BAMLH0A0HYM2
1997-02-19,2.98,BAMLH0A0HYM2
1997-02-20,2.89,BAMLH0A0HYM2
1997-02-21,2.89,BAMLH0A0HYM2
1997-02-24,2.85,BAMLH0A0HYM2
1997-02-25,2.83,BAMLH0A0HYM2
1997-02-26,2.71,BAMLH0A0HYM2
1997-02-27,2.71,BAMLH0A0HYM2
1997-02-28,2.73,BAMLH0A0HYM2
1997-03-03,2.71,BAMLH0A0HYM2
1997-03-04,2.67,BAMLH0A0HYM2
1997-03-05,2.71,BAMLH0A0HYM2
1997-03-06,2.7,BAMLH0A0HYM2
1997-03-07,2.74,BAMLH0A0HYM2
1997-03-10,2.74,BAMLH0A0HYM2
1997-03-11,2.72,BAMLH0A0HYM2
1997-03-12,2.69,BAMLH0A0HYM2
