date,value,series_id
1990-01-01,127.5,CPIAUCSL
1990-02-01,128.0,CPIAUCSL
1990-03-01,128.6,CPIAUCSL
1990-04-01,128.9,CPIAUCSL
1990-05-01,129.1,CPIAUCSL
1990-06-01,129.9,CPIAUCSL
1990-07-01,130.5,CPIAUCSL
1990-08-01,131.6,CPIAUCSL
1990-09-01,132.5,CPIAUCSL
1990-10-01,133.4,CPIAUCSL
1990-11-01,133.7,CPIAUCSL
1990-12-01,134.2,CPIAUCSL
1991-01-01,134.7,CPIAUCSL
1991-02-01,134.8,CPIAUCSL
1991-03-01,134.8,CPIAUCSL
1991-04-01,135.1,CPIAUCSL
1991-05-01,135.6,CPIAUCSL
1991-06-01,136.0,CPIAUCSL
1991-07-01,136.2,CPIAUCSL
1991-08-01,136.6,CPIAUCSL
1991-09-01,137.0,CPIAUCSL
1991-10-01,137.2,CPIAUCSL
1991-11-01,137.8,CPIAUCSL
1991-12-01,138.2,CPIAUCSL
1992-01-01,138.3,CPIAUCSL
1992-02-01,138.6,CPIAUCSL
1992-03-01,139.1,CPIAUCSL
1992-04-01,139.4,CPIAUCSL
1992-05-01,139.7,CPIAUCSL
1992-06-01,140.1,CPIAUCSL
1992-07-01,140.5,CPIAUCSL
1992-08-01,140.8,CPIAUCSL
1992-09-01,141.1,CPIAUCSL
1992-10-01,141.7,CPIAUCSL
1992-11-01,142.1,CPIAUCSL
1992-12-01,142.3,CPIAUCSL
1993-01-01,142.8,CPIAUCSL
1993-02-01,143.1,CPIAUCSL
1993-03-01,143.3,CPIAUCSL
1993-04-01,143.8,CPIAUCSL
1993-05-01,144.2,CPIAUCSL
1993-06-01,144.3,CPIAUCSL
1993-07-01,144.5,CPIAUCSL
1993-08-01,144.8,CPIAUCSL
1993-09-01,145.0,CPIAUCSL
1993-10-01,145.6,CPIAUCSL
1993-11-01,146.0,CPIAUCSL
1993-12-01,146.3,CPIAUCSL
1994-01-01,146.3,CPIAUCSL
1994-02-01,146.7,CPIAUCSL
1994-03-01,147.1,CPIAUCSL
1994-04-01,147.2,CPIAUCSL
1994-05-01,147.5,CPIAUCSL
1994-06-01,147.9,CPIAUCSL
1994-07-01,148.4,CPIAUCSL
1994-08-01,149.0,CPIAUCSL
1994-09-01,149.3,CPIAUCSL
1994-10-01,149.4,CPIAUCSL
1994-11-01,149.8,CPIAUCSL
1994-12-01,150.1,CPIAUCSL
1995-01-01,150.5,CPIAUCSL
1995-02-01,150.9,CPIAUCSL
1995-03-01,151.2,CPIAUCSL
1995-04-01,151.8,CPIAUCSL
1995-05-01,152.1,CPIAUCSL
1995-06-01,152.4,CPIAUCSL
1995-07-01,152.6,CPIAUCSL
1995-08-01,152.9,CPIAUCSL
1995-09-01,153.1,CPIAUCSL
1995-10-01,153.5,CPIAUCSL
1995-11-01,153.7,CPIAUCSL
1995-12-01,153.9,CPIAUCSL
1996-01-01,154.7,CPIAUCSL
1996-02-01,155.0,CPIAUCSL
1996-03-01,155.5,CPIAUCSL
1996-04-01,156.1,CPIAUCSL
1996-05-01,156.4,CPIAUCSL
1996-06-01,156.7,CPIAUCSL
1996-07-01,157.0,CPIAUCSL
1996-08-01,157.2,CPIAUCSL
1996-09-01,157.7,CPIAUCSL
1996-10-01,158.2,CPIAUCSL
1996-11-01,158.7,CPIAUCSL
1996-12-01,159.1,CPIAUCSL
1997-01-01,159.4,CPIAUCSL
1997-02-01,159.7,CPIAUCSL
1997-03-01,159.8,CPIAUCSL
1997-04-01,159.9,CPIAUCSL
1997-05-01,159.9,CPIAUCSL
1997-06-01,160.2,CPIAUCSL
1997-07-01,160.4,CPIAUCSL
1997-08-01,160.8,CPIAUCSL
1997-09-01,161.2,CPIAUCSL
1997-10-01,161.5,CPIAUCSL
1997-11-01,161.7,CPIAUCSL
1997-12-01,161.8,CPIAUCSL
1998-01-01,162.0,CPIAUCSL
1998-02-01,162.0,CPIAUCSL
1998-03-01,162.0,CPIAUCSL
1998-04-01,162.2,CPIAUCSL
1998-05-01,162.6,CPIAUCSL
1998-06-01,162.8,CPIAUCSL
1998-07-01,163.2,CPIAUCSL
1998-08-01,163.4,CPIAUCSL
1998-09-01,163.5,CPIAUCSL
1998-10-01,163.9,CPIAUCSL
1998-11-01,164.1,CPIAUCSL
1998-12-01,164.4,CPIAUCSL
1999-01-01,164.7,CPIAUCSL
1999-02-01,164.7,CPIAUCSL
1999-03-01,164.8,CPIAUCSL
1999-04-01,165.9,CPIAUCSL
1999-05-01,166.0,CPIAUCSL
1999-06-01,166.0,CPIAUCSL
1999-07-01,166.7,CPIAUCSL
1999-08-01,167.1,CPIAUCSL
1999-09-01,167.8,CPIAUCSL
1999-10-01,168.1,CPIAUCSL
1999-11-01,168.4,CPIAUCSL
1999-12-01,168.8,CPIAUCSL
2000-01-01,169.3,CPIAUCSL
2000-02-01,170.0,CPIAUCSL
2000-03-01,171.0,CPIAUCSL
2000-04-01,170.9,CPIAUCSL
2000-05-01,171.2,CPIAUCSL
2000-06-01,172.2,CPIAUCSL
2000-07-01,172.7,CPIAUCSL
2000-08-01,172.7,CPIAUCSL
2000-09-01,173.6,CPIAUCSL
2000-10-01,173.9,CPIAUCSL
2000-11-01,174.2,CPIAUCSL
2000-12-01,174.6,CPIAUCSL
2001-01-01,175.6,CPIAUCSL
2001-02-01,176.0,CPIAUCSL
2001-03-01,176.1,CPIAUCSL
2001-04-01,176.4,CPIAUCSL
