date,value,series_id
1990-04-01,54.4,DRTSCILM
1990-07-01,46.7,DRTSCILM
1990-10-01,54.2,DRTSCILM
1991-01-01,38.6,DRTSCILM
1991-04-01,20.0,DRTSCILM
1991-07-01,18.6,DRTSCILM
1991-10-01,16.7,DRTSCILM
1992-01-01,10.0,DRTSCILM
1992-04-01,3.5,DRTSCILM
1992-07-01,-3.4,DRTSCILM
1992-10-01,5.2,DRTSCILM
1993-01-01,3.4,DRTSCILM
1993-04-01,-12.1,DRTSCILM
1993-07-01,-25.0,DRTSCILM
1993-10-01,-20.0,DRTSCILM
1994-01-01,-18.6,DRTSCILM
1994-04-01,-15.5,DRTSCILM
1994-07-01,-10.3,DRTSCILM
1994-10-01,-22.4,DRTSCILM
1995-01-01,-10.2,DRTSCILM
1995-04-01,-6.8,DRTSCILM
1995-07-01,-8.6,DRTSCILM
1995-10-01,-5.2,DRTSCILM
1996-01-01,6.9,DRTSCILM
1996-04-01,-1.8,DRTSCILM
1996-07-01,-7.4,DRTSCILM
1996-10-01,-8.6,DRTSCILM
1997-01-01,-8.9,DRTSCILM
1997-04-01,-10.3,DRTSCILM
1997-07-01,-5.8,DRTSCILM
1997-10-01,-7.0,DRTSCILM
1998-01-01,1.8,DRTSCILM
1998-04-01,-7.1,DRTSCILM
1998-07-01,0.0,DRTSCILM
1998-10-01,36.4,DRTSCILM
1999-01-01,7.4,DRTSCILM
1999-04-01,10.0,DRTSCILM
1999-07-01,5.4,DRTSCILM
1999-10-01,9.1,DRTSCILM
2000-01-01,10.9,DRTSCILM
2000-04-01,24.6,DRTSCILM
2000-07-01,33.9,DRTSCILM
2000-10-01,43.9,DRTSCILM
2001-01-01,59.6,DRTSCILM
2001-04-01,50.9,DRTSCILM
2001-07-01,40.4,DRTSCILM
2001-10-01,50.9,DRTSCILM
2002-01-01,45.5,DRTSCILM
2002-04-01,25.0,DRTSCILM
2002-07-01,21.4,DRTSCILM
2002-10-01,20.0,DRTSCILM
2003-01-01,22.0,DRTSCILM
2003-04-01,8.9,DRTSCILM
2003-07-01,3.4,DRTSCILM
2003-10-01,0.0,DRTSCILM
2004-01-01,-17.9,DRTSCILM
2004-04-01,-22.8,DRTSCILM
2004-07-01,-20.0,DRTSCILM
2004-10-01,-21.1,DRTSCILM
2005-01-01,-23.6,DRTSCILM
2005-04-01,-24.1,DRTSCILM
2005-07-01,-16.7,DRTSCILM
2005-10-01,-8.8,DRTSCILM
2006-01-01,-10.7,DRTSCILM
2006-04-01,-12.3,DRTSCILM
2006-07-01,-8.9,DRTSCILM
2006-10-01,0.0,DRTSCILM
2007-01-01,0.0,DRTSCILM
2007-04-01,-3.8,DRTSCILM
2007-07-01,7.5,DRTSCILM
2007-10-01,19.2,DRTSCILM
2008-01-01,32.1,DRTSCILM
2008-04-01,55.4,DRTSCILM
2008-07-01,57.7,DRTSCILM
2008-10-01,83.6,DRTSCILM
2009-01-01,64.2,DRTSCILM
2009-04-01,39.6,DRTSCILM
2009-07-01,31.5,DRTSCILM
2009-10-01,14.0,DRTSCILM
2010-01-01,-5.5,DRTSCILM
2010-04-01,-7.1,DRTSCILM
2010-07-01,-8.8,DRTSCILM
2010-10-01,-10.5,DRTSCILM
2011-01-01,-10.5,DRTSCILM
2011-04-01,-16.4,DRTSCILM
2011-07-01,-21.8,DRTSCILM
