date,value,series_id
1990-01-01,3166.3,M2SL
1990-02-01,3178.2,M2SL
1990-03-01,3189.2,M2SL
1990-04-01,3201.2,M2SL
1990-05-01,3201.3,M2SL
1990-06-01,3214.6,M2SL
1990-07-01,3224.7,M2SL
1990-08-01,3242.1,M2SL
1990-09-01,3254.7,M2SL
1990-10-01,3259.2,M2SL
1990-11-01,3262.8,M2SL
1990-12-01,3272.5,M2SL
1991-01-01,3287.4,M2SL
1991-02-01,3303.6,M2SL
1991-03-01,3321.0,M2SL
1991-04-01,3331.9,M2SL
1991-05-01,3343.6,M2SL
1991-06-01,3352.8,M2SL
1991-07-01,3356.2,M2SL
1991-08-01,3355.0,M2SL
1991-09-01,3355.0,M2SL
1991-10-01,3360.0,M2SL
1991-11-01,3365.8,M2SL
1991-12-01,3373.0,M2SL
1992-01-01,3380.9,M2SL
1992-02-01,3399.3,M2SL
1992-03-01,3403.1,M2SL
1992-04-01,3399.2,M2SL
1992-05-01,3399.1,M2SL
1992-06-01,3394.0,M2SL
1992-07-01,3393.9,M2SL
1992-08-01,3398.7,M2SL
1992-09-01,3410.4,M2SL
1992-10-01,3423.9,M2SL
1992-11-01,3426.9,M2SL
1992-12-01,3425.3,M2SL
1993-01-01,3418.9,M2SL
1993-02-01,3413.8,M2SL
1993-03-01,3410.9,M2SL
1993-04-01,3410.7,M2SL
1993-05-01,3437.5,M2SL
1993-06-01,3442.7,M2SL
1993-07-01,3441.9,M2SL
1993-08-01,3445.6,M2SL
1993-09-01,3452.6,M2SL
1993-10-01,3456.9,M2SL
1993-11-01,3470.7,M2SL
1993-12-01,3475.0,M2SL
1994-01-01,3474.8,M2SL
1994-02-01,3475.1,M2SL
1994-03-01,3479.2,M2SL
1994-04-01,3480.5,M2SL
1994-05-01,3491.4,M2SL
1994-06-01,3479.8,M2SL
1994-07-01,3488.1,M2SL
1994-08-01,3485.6,M2SL
1994-09-01,3486.7,M2SL
1994-10-01,3484.8,M2SL
1994-11-01,3487.8,M2SL
1994-12-01,3486.7,M2SL
1995-01-01,3492.2,M2SL
1995-02-01,3489.2,M2SL
1995-03-01,3489.9,M2SL
1995-04-01,3498.2,M2SL
1995-05-01,3525.1,M2SL
1995-06-01,3549.4,M2SL
1995-07-01,3567.5,M2SL
1995-08-01,3588.9,M2SL
1995-09-01,3602.9,M2SL
1995-10-01,3614.1,M2SL
1995-11-01,3620.4,M2SL
1995-12-01,3629.8,M2SL
1996-01-01,3647.4,M2SL
1996-02-01,3660.8,M2SL
1996-03-01,3685.4,M2SL
1996-04-01,3696.4,M2SL
1996-05-01,3710.7,M2SL
1996-06-01,3723.3,M2SL
1996-07-01,3737.5,M2SL
1996-08-01,3744.1,M2SL
1996-09-01,3754.2,M2SL
1996-10-01,3773.4,M2SL
1996-11-01,3795.5,M2SL
1996-12-01,3818.7,M2SL
1997-01-01,3834.0,M2SL
1997-02-01,3845.0,M2SL
1997-03-01,3859.5,M2SL
1997-04-01,3875.8,M2SL
1997-05-01,3890.5,M2SL
1997-06-01,3907.1,M2SL
1997-07-01,3924.9,M2SL
1997-08-01,3957.7,M2SL
1997-09-01,3973.7,M2SL
1997-10-01,3992.7,M2SL
1997-11-01,4015.0,M2SL
1997-12-01,4033.0,M2SL
1998-01-01,4055.2,M2SL
1998-02-01,4087.3,M2SL
1998-03-01,4112.4,M2SL
1998-04-01,4138.9,M2SL
1998-05-01,4165.9,M2SL
1998-06-01,4185.6,M2SL
1998-07-01,4205.4,M2SL
1998-08-01,4229.3,M2SL
1998-09-01,4268.3,M2SL
1998-10-01,4308.2,M2SL
1998-11-01,4346.8,M2SL
1998-12-01,4375.5,M2SL
1999-01-01,4401.7,M2SL
1999-02-01,4423.7,M2SL
1999-03-01,4430.1,M2SL
1999-04-01,4459.9,M2SL
1999-05-01,4487.9,M2SL
1999-06-01,4510.1,M2SL
1999-07-01,4537.6,M2SL
1999-08-01,4553.6,M2SL
1999-09-01,4569.5,M2SL
1999-10-01,4592.9,M2SL
1999-11-01,4611.9,M2SL
1999-12-01,4639.1,M2SL
2000-01-01,4666.1,M2SL
2000-02-01,4678.7,M2SL
2000-03-01,4709.1,M2SL
2000-04-01,4766.4,M2SL
2000-05-01,4757.5,M2SL
2000-06-01,4775.8,M2SL
2000-07-01,4793.4,M2SL
2000-08-01,4820.4,M2SL
2000-09-01,4855.9,M2SL
2000-10-01,4871.4,M2SL
2000-11-01,4882.6,M2SL
2000-12-01,4927.3,M2SL
2001-01-01,4976.8,M2SL
2001-02-01,5014.9,M2SL
2001-03-01,5072.2,M2SL
2001-04-01,5137.9,M2SL
2001-05-01,5139.1,M2SL
2001-06-01,5182.3,M2SL
2001-07-01,5212.0,M2SL
2001-08-01,5244.4,M2SL
2001-09-01,5355.9,M2SL
2001-10-01,5344.0,M2SL
2001-11-01,5387.5,M2SL
2001-12-01,5440.1,M2SL
2002-01-01,5459.6,M2SL
2002-02-01,5488.4,M2SL
2002-03-01,5499.8,M2SL
2002-04-01,5501.3,M2SL
2002-05-01,5530.1,M2SL
2002-06-01,5555.3,M2SL
2002-07-01,5597.6,M2SL
2002-08-01,5638.5,M2SL
2002-09-01,5662.9,M2SL
2002-10-01,5707.3,M2SL
2002-11-01,5758.0,M2SL
2002-12-01,5779.0,M2SL
2003-01-01,5811.1,M2SL
2003-02-01,5846.8,M2SL
2003-03-01,5866.3,M2SL
2003-04-01,5904.9,M2SL
2003-05-01,5967.0,M2SL
2003-06-01,6003.9,M2SL
2003-07-01,6050.4,M2SL
2003-08-01,6107.0,M2SL
2003-09-01,6080.0,M2SL
2003-10-01,6070.2,M2SL
2003-11-01,6075.5,M2SL
2003-12-01,6073.5,M2SL
2004-01-01,6081.3,M2SL
2004-02-01,6120.7,M2SL
2004-03-01,6156.3,M2SL
2004-04-01,6198.5,M2SL
2004-05-01,6277.2,M2SL
2004-06-01,6279.3,M2SL
2004-07-01,6292.3,M2SL
2004-08-01,6317.7,M2SL
2004-09-01,6352.3,M2SL
2004-10-01,6379.9,M2SL
2004-11-01,6406.3,M2SL
2004-12-01,6424.3,M2SL
2005-01-01,6429.9,M2SL
2005-02-01,6437.7,M2SL
2005-03-01,6446.6,M2SL
2005-04-01,6461.4,M2SL
2005-05-01,6480.6,M2SL
2005-06-01,6513.2,M2SL
2005-07-01,6545.1,M2SL
2005-08-01,6576.7,M2SL
2005-09-01,6610.2,M2SL
2005-10-01,6644.0,M2SL
2005-11-01,6660.6,M2SL
2005-12-01,6687.4,M2SL
2006-01-01,6728.4,M2SL
2006-02-01,6753.1,M2SL
2006-03-01,6766.9,M2SL
2006-04-01,6806.3,M2SL
2006-05-01,6815.7,M2SL
2006-06-01,6854.0,M2SL
2006-07-01,6896.1,M2SL
2006-08-01,6926.4,M2SL
2006-09-01,6952.8,M2SL
2006-10-01,7002.1,M2SL
2006-11-01,7037.3,M2SL
2006-12-01,7079.3,M2SL
2007-01-01,7115.6,M2SL
2007-02-01,7131.9,M2SL
2007-03-01,7164.7,M2SL
2007-04-01,7239.9,M2SL
2007-05-01,7257.1,M2SL
2007-06-01,7290.6,M2SL
2007-07-01,7321.8,M2SL
2007-08-01,7397.0,M2SL
2007-09-01,7413.8,M2SL
2007-10-01,7429.0,M2SL
2007-11-01,7454.0,M2SL
2007-12-01,7482.7,M2SL
2008-01-01,7513.6,M2SL
2008-02-01,7600.3,M2SL
2008-03-01,7664.9,M2SL
2008-04-01,7711.4,M2SL
2008-05-01,7728.3,M2SL
2008-06-01,7747.3,M2SL
2008-07-01,7794.9,M2SL
2008-08-01,7808.8,M2SL
2008-09-01,7873.6,M2SL
2008-10-01,7976.3,M2SL
2008-11-01,8027.8,M2SL
2008-12-01,8203.0,M2SL
2009-01-01,8284.2,M2SL
2009-02-01,8314.7,M2SL
2009-03-01,8380.5,M2SL
2009-04-01,8390.2,M2SL
2009-05-01,8452.9,M2SL
2009-06-01,8462.9,M2SL
2009-07-01,8467.3,M2SL
2009-08-01,8466.2,M2SL
2009-09-01,8462.7,M2SL
2009-10-01,8489.2,M2SL
2009-11-01,8517.9,M2SL
2009-12-01,8510.6,M2SL
2010-01-01,8473.1,M2SL
2010-02-01,8523.4,M2SL
