date,value,series_id
1990-01-01,109196,PAYEMS
1990-02-01,109436,PAYEMS
1990-03-01,109640,PAYEMS
1990-04-01,109674,PAYEMS
1990-05-01,109828,PAYEMS
1990-06-01,109850,PAYEMS
1990-07-01,109815,PAYEMS
1990-08-01,109607,PAYEMS
1990-09-01,109522,PAYEMS
1990-10-01,109377,PAYEMS
1990-11-01,109222,PAYEMS
1990-12-01,109168,PAYEMS
1991-01-01,109058,PAYEMS
1991-02-01,108735,PAYEMS
1991-03-01,108568,PAYEMS
1991-04-01,108350,PAYEMS
1991-05-01,108253,PAYEMS
1991-06-01,108330,PAYEMS
1991-07-01,108290,PAYEMS
1991-08-01,108300,PAYEMS
1991-09-01,108335,PAYEMS
1991-10-01,108361,PAYEMS
1991-11-01,108300,PAYEMS
1991-12-01,108330,PAYEMS
1992-01-01,108365,PAYEMS
1992-02-01,108312,PAYEMS
1992-03-01,108367,PAYEMS
1992-04-01,108516,PAYEMS
1992-05-01,108646,PAYEMS
1992-06-01,108706,PAYEMS
1992-07-01,108793,PAYEMS
1992-08-01,108916,PAYEMS
1992-09-01,108951,PAYEMS
1992-10-01,109139,PAYEMS
1992-11-01,109283,PAYEMS
1992-12-01,109502,PAYEMS
1993-01-01,109790,PAYEMS
1993-02-01,110047,PAYEMS
1993-03-01,110004,PAYEMS
1993-04-01,110300,PAYEMS
1993-05-01,110571,PAYEMS
1993-06-01,110742,PAYEMS
1993-07-01,111054,PAYEMS
1993-08-01,111200,PAYEMS
1993-09-01,111448,PAYEMS
1993-10-01,111734,PAYEMS
1993-11-01,111987,PAYEMS
1993-12-01,112325,PAYEMS
1994-01-01,112601,PAYEMS
1994-02-01,112782,PAYEMS
1994-03-01,113245,PAYEMS
1994-04-01,113589,PAYEMS
1994-05-01,113922,PAYEMS
1994-06-01,114239,PAYEMS
1994-07-01,114608,PAYEMS
1994-08-01,114902,PAYEMS
1994-09-01,115246,PAYEMS
1994-10-01,115457,PAYEMS
1994-11-01,115867,PAYEMS
1994-12-01,116174,PAYEMS
1995-01-01,116505,PAYEMS
1995-02-01,116694,PAYEMS
1995-03-01,116908,PAYEMS
1995-04-01,117066,PAYEMS
1995-05-01,117046,PAYEMS
1995-06-01,117291,PAYEMS
1995-07-01,117382,PAYEMS
1995-08-01,117646,PAYEMS
1995-09-01,117873,PAYEMS
1995-10-01,118026,PAYEMS
1995-11-01,118165,PAYEMS
1995-12-01,118325,PAYEMS
1996-01-01,118317,PAYEMS
1996-02-01,118738,PAYEMS
1996-03-01,118992,PAYEMS
1996-04-01,119158,PAYEMS
1996-05-01,119497,PAYEMS
1996-06-01,119770,PAYEMS
1996-07-01,120019,PAYEMS
1996-08-01,120198,PAYEMS
1996-09-01,120400,PAYEMS
1996-10-01,120665,PAYEMS
1996-11-01,120947,PAYEMS
1996-12-01,121143,PAYEMS
1997-01-01,121356,PAYEMS
1997-02-01,121673,PAYEMS
1997-03-01,121991,PAYEMS
1997-04-01,122289,PAYEMS
1997-05-01,122560,PAYEMS
1997-06-01,122816,PAYEMS
1997-07-01,123114,PAYEMS
1997-08-01,123087,PAYEMS
1997-09-01,123575,PAYEMS
1997-10-01,123924,PAYEMS
1997-11-01,124225,PAYEMS
1997-12-01,124549,PAYEMS
1998-01-01,124806,PAYEMS
1998-02-01,125017,PAYEMS
1998-03-01,125165,PAYEMS
1998-04-01,125445,PAYEMS
1998-05-01,125845,PAYEMS
1998-06-01,126076,PAYEMS
1998-07-01,126212,PAYEMS
1998-08-01,126546,PAYEMS
1998-09-01,126744,PAYEMS
1998-10-01,126949,PAYEMS
1998-11-01,127222,PAYEMS
1998-12-01,127595,PAYEMS
1999-01-01,127699,PAYEMS
1999-02-01,128117,PAYEMS
1999-03-01,128234,PAYEMS
1999-04-01,128595,PAYEMS
1999-05-01,128813,PAYEMS
1999-06-01,129084,PAYEMS
1999-07-01,129422,PAYEMS
1999-08-01,129572,PAYEMS
1999-09-01,129771,PAYEMS
1999-10-01,130178,PAYEMS
1999-11-01,130466,PAYEMS
1999-12-01,130783,PAYEMS
2000-01-01,131011,PAYEMS
2000-02-01,131120,PAYEMS
2000-03-01,131604,PAYEMS
2000-04-01,131884,PAYEMS
2000-05-01,132105,PAYEMS
2000-06-01,132063,PAYEMS
2000-07-01,132228,PAYEMS
2000-08-01,132234,PAYEMS
2000-09-01,132337,PAYEMS
2000-10-01,132352,PAYEMS
2000-11-01,132556,PAYEMS
2000-12-01,132716,PAYEMS
2001-01-01,132703,PAYEMS
2001-02-01,132788,PAYEMS
2001-03-01,132751,PAYEMS
2001-04-01,132458,PAYEMS
2001-05-01,132408,PAYEMS
2001-06-01,132300,PAYEMS
2001-07-01,132172,PAYEMS
2001-08-01,132021,PAYEMS
2001-09-01,131763,PAYEMS
2001-10-01,131452,PAYEMS
2001-11-01,131144,PAYEMS
2001-12-01,130983,PAYEMS
2002-01-01,130859,PAYEMS
2002-02-01,130737,PAYEMS
2002-03-01,130722,PAYEMS
2002-04-01,130616,PAYEMS
2002-05-01,130632,PAYEMS
2002-06-01,130674,PAYEMS
2002-07-01,130584,PAYEMS
2002-08-01,130581,PAYEMS
2002-09-01,130502,PAYEMS
2002-10-01,130617,PAYEMS
2002-11-01,130616,PAYEMS
2002-12-01,130465,PAYEMS
2003-01-01,130573,PAYEMS
2003-02-01,130441,PAYEMS
2003-03-01,130235,PAYEMS
2003-04-01,130173,PAYEMS
2003-05-01,130197,PAYEMS
2003-06-01,130186,PAYEMS
2003-07-01,130184,PAYEMS
2003-08-01,130153,PAYEMS
2003-09-01,130252,PAYEMS
2003-10-01,130439,PAYEMS
2003-11-01,130480,PAYEMS
2003-12-01,130589,PAYEMS
2004-01-01,130756,PAYEMS
2004-02-01,130821,PAYEMS
2004-03-01,131140,PAYEMS
2004-04-01,131412,PAYEMS
2004-05-01,131697,PAYEMS
2004-06-01,131794,PAYEMS
2004-07-01,131854,PAYEMS
2004-08-01,131939,PAYEMS
2004-09-01,132089,PAYEMS
2004-10-01,132429,PAYEMS
2004-11-01,132503,PAYEMS
2004-12-01,132630,PAYEMS
2005-01-01,132781,PAYEMS
2005-02-01,133034,PAYEMS
2005-03-01,133154,PAYEMS
2005-04-01,133520,PAYEMS
2005-05-01,133689,PAYEMS
2005-06-01,133948,PAYEMS
2005-07-01,134300,PAYEMS
2005-08-01,134502,PAYEMS
2005-09-01,134552,PAYEMS
2005-10-01,134641,PAYEMS
2005-11-01,134997,PAYEMS
2005-12-01,135159,PAYEMS
2006-01-01,135427,PAYEMS
2006-02-01,135733,PAYEMS
2006-03-01,136038,PAYEMS
2006-04-01,136210,PAYEMS
2006-05-01,136249,PAYEMS
2006-06-01,136337,PAYEMS
2006-07-01,136529,PAYEMS
2006-08-01,136692,PAYEMS
2006-09-01,136826,PAYEMS
2006-10-01,136843,PAYEMS
2006-11-01,137060,PAYEMS
2006-12-01,137249,PAYEMS
2007-01-01,137472,PAYEMS
2007-02-01,137560,PAYEMS
2007-03-01,137784,PAYEMS
2007-04-01,137847,PAYEMS
2007-05-01,137992,PAYEMS
2007-06-01,138070,PAYEMS
2007-07-01,138044,PAYEMS
2007-08-01,138013,PAYEMS
2007-09-01,138099,PAYEMS
2007-10-01,138175,PAYEMS
2007-11-01,138290,PAYEMS
2007-12-01,138395,PAYEMS
2008-01-01,138391,PAYEMS
2008-02-01,138329,PAYEMS
2008-03-01,138259,PAYEMS
2008-04-01,138040,PAYEMS
2008-05-01,137851,PAYEMS
2008-06-01,137700,PAYEMS
2008-07-01,137497,PAYEMS
2008-08-01,137211,PAYEMS
2008-09-01,136760,PAYEMS
2008-10-01,136291,PAYEMS
2008-11-01,135541,PAYEMS
2008-12-01,134847,PAYEMS
2009-01-01,134079,PAYEMS
2009-02-01,133318,PAYEMS
2009-03-01,132494,PAYEMS
2009-04-01,131822,PAYEMS
2009-05-01,131466,PAYEMS
2009-06-01,131008,PAYEMS
2009-07-01,130662,PAYEMS
2009-08-01,130472,PAYEMS
2009-09-01,130246,PAYEMS
2009-10-01,130061,PAYEMS
2009-11-01,130057,PAYEMS
2009-12-01,129808,PAYEMS
2010-01-01,129802,PAYEMS
2010-02-01,129706,PAYEMS
2010-03-01,129866,PAYEMS
2010-04-01,130120,PAYEMS
2010-05-01,130642,PAYEMS
2010-06-01,130510,PAYEMS
2010-07-01,130415,PAYEMS
2010-08-01,130415,PAYEMS
2010-09-01,130341,PAYEMS
2010-10-01,130620,PAYEMS
2010-11-01,130749,PAYEMS
2010-12-01,130830,PAYEMS
2011-01-01,130837,PAYEMS
2011-02-01,131057,PAYEMS
2011-03-01,131283,PAYEMS
2011-04-01,131597,PAYEMS
2011-05-01,131703,PAYEMS
2011-06-01,131931,PAYEMS
2011-07-01,131992,PAYEMS
2011-08-01,132125,PAYEMS
2011-09-01,132344,PAYEMS
2011-10-01,132553,PAYEMS
2011-11-01,132690,PAYEMS
2011-12-01,132888,PAYEMS
2012-01-01,133246,PAYEMS
2012-02-01,133509,PAYEMS
2012-03-01,133748,PAYEMS
2012-04-01,133825,PAYEMS
