date,value,series_id
1990-01-01,1748,PERMIT
1990-02-01,1329,PERMIT
1990-03-01,1246,PERMIT
1990-04-01,1136,PERMIT
1990-05-01,1067,PERMIT
1990-06-01,1108,PERMIT
1990-07-01,1078,PERMIT
1990-08-01,1069,PERMIT
1990-09-01,976,PERMIT
1990-10-01,925,PERMIT
1990-11-01,941,PERMIT
1990-12-01,861,PERMIT
1991-01-01,786,PERMIT
1991-02-01,853,PERMIT
1991-03-01,911,PERMIT
1991-04-01,916,PERMIT
1991-05-01,991,PERMIT
1991-06-01,964,PERMIT
1991-07-01,973,PERMIT
1991-08-01,944,PERMIT
1991-09-01,974,PERMIT
1991-10-01,991,PERMIT
1991-11-01,984,PERMIT
1991-12-01,1061,PERMIT
1992-01-01,1077,PERMIT
1992-02-01,1146,PERMIT
1992-03-01,1082,PERMIT
1992-04-01,1054,PERMIT
1992-05-01,1056,PERMIT
1992-06-01,1057,PERMIT
1992-07-01,1089,PERMIT
1992-08-01,1075,PERMIT
1992-09-01,1114,PERMIT
1992-10-01,1132,PERMIT
1992-11-01,1118,PERMIT
1992-12-01,1176,PERMIT
1993-01-01,1177,PERMIT
1993-02-01,1148,PERMIT
1993-03-01,1056,PERMIT
1993-04-01,1104,PERMIT
1993-05-01,1112,PERMIT
1993-06-01,1130,PERMIT
1993-07-01,1174,PERMIT
1993-08-01,1230,PERMIT
1993-09-01,1251,PERMIT
1993-10-01,1287,PERMIT
1993-11-01,1357,PERMIT
1993-12-01,1461,PERMIT
1994-01-01,1390,PERMIT
1994-02-01,1269,PERMIT
1994-03-01,1342,PERMIT
1994-04-01,1392,PERMIT
1994-05-01,1396,PERMIT
1994-06-01,1357,PERMIT
1994-07-01,1335,PERMIT
1994-08-01,1377,PERMIT
1994-09-01,1412,PERMIT
1994-10-01,1397,PERMIT
1994-11-01,1340,PERMIT
1994-12-01,1396,PERMIT
1995-01-01,1282,PERMIT
1995-02-01,1254,PERMIT
1995-03-01,1226,PERMIT
1995-04-01,1259,PERMIT
1995-05-01,1271,PERMIT
1995-06-01,1305,PERMIT
1995-07-01,1354,PERMIT
1995-08-01,1386,PERMIT
1995-09-01,1421,PERMIT
1995-10-01,1400,PERMIT
1995-11-01,1430,PERMIT
1995-12-01,1442,PERMIT
1996-01-01,1387,PERMIT
1996-02-01,1420,PERMIT
1996-03-01,1437,PERMIT
1996-04-01,1463,PERMIT
1996-05-01,1457,PERMIT
1996-06-01,1429,PERMIT
1996-07-01,1450,PERMIT
1996-08-01,1413,PERMIT
1996-09-01,1392,PERMIT
1996-10-01,1358,PERMIT
1996-11-01,1412,PERMIT
1996-12-01,1411,PERMIT
1997-01-01,1382,PERMIT
1997-02-01,1445,PERMIT
1997-03-01,1436,PERMIT
1997-04-01,1421,PERMIT
1997-05-01,1414,PERMIT
1997-06-01,1402,PERMIT
1997-07-01,1440,PERMIT
1997-08-01,1449,PERMIT
1997-09-01,1494,PERMIT
1997-10-01,1499,PERMIT
1997-11-01,1469,PERMIT
1997-12-01,1456,PERMIT
1998-01-01,1555,PERMIT
1998-02-01,1647,PERMIT
1998-03-01,1605,PERMIT
1998-04-01,1547,PERMIT
1998-05-01,1554,PERMIT
1998-06-01,1551,PERMIT
1998-07-01,1610,PERMIT
1998-08-01,1654,PERMIT
1998-09-01,1577,PERMIT
1998-10-01,1719,PERMIT
1998-11-01,1672,PERMIT
1998-12-01,1742,PERMIT
1999-01-01,1732,PERMIT
1999-02-01,1720,PERMIT
1999-03-01,1665,PERMIT
1999-04-01,1600,PERMIT
1999-05-01,1640,PERMIT
1999-06-01,1702,PERMIT
1999-07-01,1682,PERMIT
1999-08-01,1671,PERMIT
1999-09-01,1551,PERMIT
1999-10-01,1649,PERMIT
1999-11-01,1672,PERMIT
1999-12-01,1683,PERMIT
2000-01-01,1727,PERMIT
2000-02-01,1692,PERMIT
2000-03-01,1651,PERMIT
2000-04-01,1597,PERMIT
2000-05-01,1543,PERMIT
2000-06-01,1572,PERMIT
2000-07-01,1542,PERMIT
2000-08-01,1552,PERMIT
2000-09-01,1570,PERMIT
2000-10-01,1577,PERMIT
2000-11-01,1614,PERMIT
2000-12-01,1543,PERMIT
2001-01-01,1699,PERMIT
2001-02-01,1656,PERMIT
2001-03-01,1659,PERMIT
2001-04-01,1666,PERMIT
2001-05-01,1665,PERMIT
2001-06-01,1626,PERMIT
2001-07-01,1598,PERMIT
2001-08-01,1615,PERMIT
2001-09-01,1565,PERMIT
2001-10-01,1566,PERMIT
2001-11-01,1651,PERMIT
2001-12-01,1680,PERMIT
2002-01-01,1665,PERMIT
2002-02-01,1787,PERMIT
2002-03-01,1691,PERMIT
2002-04-01,1669,PERMIT
2002-05-01,1716,PERMIT
2002-06-01,1758,PERMIT
2002-07-01,1738,PERMIT
2002-08-01,1695,PERMIT
2002-09-01,1803,PERMIT
2002-10-01,1799,PERMIT
2002-11-01,1771,PERMIT
2002-12-01,1896,PERMIT
2003-01-01,1808,PERMIT
2003-02-01,1854,PERMIT
2003-03-01,1757,PERMIT
2003-04-01,1803,PERMIT
2003-05-01,1835,PERMIT
2003-06-01,1875,PERMIT
2003-07-01,1885,PERMIT
2003-08-01,1966,PERMIT
2003-09-01,1961,PERMIT
2003-10-01,2012,PERMIT
2003-11-01,1918,PERMIT
2003-12-01,1987,PERMIT
2004-01-01,1952,PERMIT
2004-02-01,1966,PERMIT
2004-03-01,2066,PERMIT
2004-04-01,2070,PERMIT
2004-05-01,2150,PERMIT
2004-06-01,2020,PERMIT
2004-07-01,2112,PERMIT
2004-08-01,2056,PERMIT
2004-09-01,2041,PERMIT
2004-10-01,2097,PERMIT
2004-11-01,2079,PERMIT
2004-12-01,2082,PERMIT
2005-01-01,2139,PERMIT
2005-02-01,2114,PERMIT
2005-03-01,2062,PERMIT
2005-04-01,2150,PERMIT
2005-05-01,2085,PERMIT
2005-06-01,2178,PERMIT
2005-07-01,2203,PERMIT
