date,value,series_id
1992-01-01,142419,RSXFS
1992-02-01,142584,RSXFS
1992-03-01,142120,RSXFS
1992-04-01,143659,RSXFS
1992-05-01,144239,RSXFS
1992-06-01,145273,RSXFS
1992-07-01,146743,RSXFS
1992-08-01,146070,RSXFS
1992-09-01,147932,RSXFS
1992-10-01,149346,RSXFS
1992-11-01,149131,RSXFS
1992-12-01,150578,RSXFS
1993-01-01,152329,RSXFS
1993-02-01,151742,RSXFS
1993-03-01,150525,RSXFS
1993-04-01,154720,RSXFS
1993-05-01,155537,RSXFS
1993-06-01,155353,RSXFS
1993-07-01,158267,RSXFS
1993-08-01,157425,RSXFS
1993-09-01,158535,RSXFS
1993-10-01,159773,RSXFS
1993-11-01,162004,RSXFS
1993-12-01,163258,RSXFS
1994-01-01,162369,RSXFS
1994-02-01,165075,RSXFS
1994-03-01,168330,RSXFS
1994-04-01,168262,RSXFS
1994-05-01,167412,RSXFS
1994-06-01,169337,RSXFS
1994-07-01,169514,RSXFS
1994-08-01,172332,RSXFS
1994-09-01,174018,RSXFS
1994-10-01,175309,RSXFS
1994-11-01,175761,RSXFS
1994-12-01,176168,RSXFS
1995-01-01,177136,RSXFS
1995-02-01,174560,RSXFS
1995-03-01,176376,RSXFS
1995-04-01,176353,RSXFS
1995-05-01,179020,RSXFS
1995-06-01,181382,RSXFS
1995-07-01,180019,RSXFS
1995-08-01,181787,RSXFS
1995-09-01,182074,RSXFS
1995-10-01,181411,RSXFS
1995-11-01,184327,RSXFS
1995-12-01,184841,RSXFS
1996-01-01,184636,RSXFS
1996-02-01,187576,RSXFS
1996-03-01,188237,RSXFS
1996-04-01,189778,RSXFS
1996-05-01,191544,RSXFS
1996-06-01,189960,RSXFS
1996-07-01,191113,RSXFS
1996-08-01,191139,RSXFS
1996-09-01,193303,RSXFS
1996-10-01,195420,RSXFS
1996-11-01,194860,RSXFS
1996-12-01,195318,RSXFS
1997-01-01,197447,RSXFS
1997-02-01,198891,RSXFS
1997-03-01,200352,RSXFS
1997-04-01,197212,RSXFS
1997-05-01,196937,RSXFS
1997-06-01,199311,RSXFS
1997-07-01,201751,RSXFS
1997-08-01,201892,RSXFS
1997-09-01,202992,RSXFS
1997-10-01,203055,RSXFS
1997-11-01,202778,RSXFS
1997-12-01,203837,RSXFS
1998-01-01,204505,RSXFS
1998-02-01,204207,RSXFS
1998-03-01,205311,RSXFS
1998-04-01,208683,RSXFS
1998-05-01,209165,RSXFS
1998-06-01,211222,RSXFS
1998-07-01,209658,RSXFS
1998-08-01,207737,RSXFS
1998-09-01,210112,RSXFS
1998-10-01,213794,RSXFS
1998-11-01,215194,RSXFS
1998-12-01,217396,RSXFS
1999-01-01,217930,RSXFS
1999-02-01,220769,RSXFS
1999-03-01,222199,RSXFS
1999-04-01,223837,RSXFS
1999-05-01,225577,RSXFS
1999-06-01,226474,RSXFS
1999-07-01,228424,RSXFS
1999-08-01,230902,RSXFS
1999-09-01,231912,RSXFS
1999-10-01,231254,RSXFS
1999-11-01,234425,RSXFS
1999-12-01,239589,RSXFS
2000-01-01,237541,RSXFS
2000-02-01,241541,RSXFS
2000-03-01,244533,RSXFS
2000-04-01,239552,RSXFS
2000-05-01,241546,RSXFS
2000-06-01,243226,RSXFS
2000-07-01,240979,RSXFS
2000-08-01,242318,RSXFS
2000-09-01,245520,RSXFS
2000-10-01,245399,RSXFS
2000-11-01,243846,RSXFS
2000-12-01,243844,RSXFS
2001-01-01,247339,RSXFS
2001-02-01,247289,RSXFS
2001-03-01,244514,RSXFS
2001-04-01,249113,RSXFS
2001-05-01,250250,RSXFS
2001-06-01,248836,RSXFS
2001-07-01,247336,RSXFS
2001-08-01,249590,RSXFS
2001-09-01,243130,RSXFS
2001-10-01,262862,RSXFS
2001-11-01,254084,RSXFS
2001-12-01,249879,RSXFS
2002-01-01,250603,RSXFS
2002-02-01,252279,RSXFS
2002-03-01,251542,RSXFS
2002-04-01,254543,RSXFS
2002-05-01,252390,RSXFS
2002-06-01,253652,RSXFS
2002-07-01,257339,RSXFS
2002-08-01,259050,RSXFS
2002-09-01,254081,RSXFS
2002-10-01,256131,RSXFS
2002-11-01,256350,RSXFS
2002-12-01,259206,RSXFS
2003-01-01,261394,RSXFS
2003-02-01,257531,RSXFS
2003-03-01,260566,RSXFS
2003-04-01,261375,RSXFS
2003-05-01,261392,RSXFS
2003-06-01,265331,RSXFS
2003-07-01,267683,RSXFS
2003-08-01,270612,RSXFS
2003-09-01,270212,RSXFS
2003-10-01,269060,RSXFS
2003-11-01,270161,RSXFS
2003-12-01,271550,RSXFS
2004-01-01,272465,RSXFS
2004-02-01,274360,RSXFS
2004-03-01,279692,RSXFS
2004-04-01,277625,RSXFS
2004-05-01,281281,RSXFS
2004-06-01,279141,RSXFS
2004-07-01,281350,RSXFS
2004-08-01,281006,RSXFS
2004-09-01,286866,RSXFS
2004-10-01,287700,RSXFS
2004-11-01,289679,RSXFS
2004-12-01,293401,RSXFS
2005-01-01,290111,RSXFS
2005-02-01,293710,RSXFS
2005-03-01,294743,RSXFS
2005-04-01,297153,RSXFS
2005-05-01,295314,RSXFS
2005-06-01,305083,RSXFS
2005-07-01,307320,RSXFS
2005-08-01,303216,RSXFS
2005-09-01,304187,RSXFS
2005-10-01,303989,RSXFS
2005-11-01,306566,RSXFS
2005-12-01,306723,RSXFS
2006-01-01,315566,RSXFS
2006-02-01,313440,RSXFS
2006-03-01,314471,RSXFS
2006-04-01,316094,RSXFS
2006-05-01,314919,RSXFS
2006-06-01,316978,RSXFS
2006-07-01,317984,RSXFS
2006-08-01,318802,RSXFS
2006-09-01,316400,RSXFS
2006-10-01,316145,RSXFS
2006-11-01,317123,RSXFS
2006-12-01,320312,RSXFS
2007-01-01,320305,RSXFS
2007-02-01,321434,RSXFS
2007-03-01,323708,RSXFS
2007-04-01,322878,RSXFS
2007-05-01,327266,RSXFS
2007-06-01,324076,RSXFS
2007-07-01,325455,RSXFS
2007-08-01,327444,RSXFS
2007-09-01,328668,RSXFS
2007-10-01,330544,RSXFS
2007-11-01,334021,RSXFS
2007-12-01,329259,RSXFS
2008-01-01,330478,RSXFS
2008-02-01,327869,RSXFS
2008-03-01,328493,RSXFS
2008-04-01,328037,RSXFS
2008-05-01,331088,RSXFS
2008-06-01,331764,RSXFS
2008-07-01,330301,RSXFS
2008-08-01,327296,RSXFS
2008-09-01,321568,RSXFS
2008-10-01,308968,RSXFS
2008-11-01,295396,RSXFS
2008-12-01,287571,RSXFS
2009-01-01,292449,RSXFS
2009-02-01,291429,RSXFS
2009-03-01,286022,RSXFS
2009-04-01,287530,RSXFS
2009-05-01,290215,RSXFS
2009-06-01,295458,RSXFS
2009-07-01,296928,RSXFS
2009-08-01,302871,RSXFS
2009-09-01,294449,RSXFS
2009-10-01,298067,RSXFS
2009-11-01,300583,RSXFS
2009-12-01,301959,RSXFS
2010-01-01,302325,RSXFS
2010-02-01,302310,RSXFS
2010-03-01,309525,RSXFS
2010-04-01,312143,RSXFS
2010-05-01,309158,RSXFS
2010-06-01,308588,RSXFS
2010-07-01,309543,RSXFS
2010-08-01,310761,RSXFS
2010-09-01,313785,RSXFS
2010-10-01,317699,RSXFS
2010-11-01,320695,RSXFS
2010-12-01,323421,RSXFS
2011-01-01,325674,RSXFS
2011-02-01,328049,RSXFS
2011-03-01,331161,RSXFS
2011-04-01,333189,RSXFS
2011-05-01,332409,RSXFS
2011-06-01,335108,RSXFS
2011-07-01,334922,RSXFS
2011-08-01,335163,RSXFS
2011-09-01,339011,RSXFS
2011-10-01,341058,RSXFS
2011-11-01,342214,RSXFS
2011-12-01,343093,RSXFS
2012-01-01,345656,RSXFS
2012-02-01,350345,RSXFS
2012-03-01,351748,RSXFS
2012-04-01,349722,RSXFS
2012-05-01,349064,RSXFS
2012-06-01,345339,RSXFS
2012-07-01,346936,RSXFS
2012-08-01,351782,RSXFS
2012-09-01,354575,RSXFS
2012-10-01,354747,RSXFS
2012-11-01,356158,RSXFS
2012-12-01,357519,RSXFS
2013-01-01,360257,RSXFS
2013-02-01,365227,RSXFS
2013-03-01,362148,RSXFS
2013-04-01,360499,RSXFS
2013-05-01,362842,RSXFS
2013-06-01,364181,RSXFS
2013-07-01,366243,RSXFS
2013-08-01,365543,RSXFS
2013-09-01,365668,RSXFS
2013-10-01,366444,RSXFS
2013-11-01,366868,RSXFS
2013-12-01,369499,RSXFS
2014-01-01,366684,RSXFS
2014-02-01,371335,RSXFS
2014-03-01,375285,RSXFS
2014-04-01,379432,RSXFS
2014-05-01,379787,RSXFS
2014-06-01,380618,RSXFS
2014-07-01,381045,RSXFS
2014-08-01,384017,RSXFS
2014-09-01,382277,RSXFS
2014-10-01,383323,RSXFS
2014-11-01,384459,RSXFS
2014-12-01,380682,RSXFS
2015-01-01,378518,RSXFS
2015-02-01,377594,RSXFS
2015-03-01,383681,RSXFS
2015-04-01,383893,RSXFS
2015-05-01,387155,RSXFS
2015-06-01,387199,RSXFS
2015-07-01,390953,RSXFS
2015-08-01,390570,RSXFS
2015-09-01,388551,RSXFS
2015-10-01,387066,RSXFS
2015-11-01,388530,RSXFS
2015-12-01,389551,RSXFS
2016-01-01,387483,RSXFS
2016-02-01,390029,RSXFS
2016-03-01,388998,RSXFS
2016-04-01,391112,RSXFS
2016-05-01,392299,RSXFS
2016-06-01,397113,RSXFS
2016-07-01,396545,RSXFS
2016-08-01,396293,RSXFS
2016-09-01,398797,RSXFS
2016-10-01,399637,RSXFS
2016-11-01,398680,RSXFS
2016-12-01,405114,RSXFS
2017-01-01,408269,RSXFS
2017-02-01,408155,RSXFS
2017-03-01,407630,RSXFS
2017-04-01,409134,RSXFS
2017-05-01,406609,RSXFS
2017-06-01,409067,RSXFS
2017-07-01,409113,RSXFS
2017-08-01,409606,RSXFS
2017-09-01,419021,RSXFS
2017-10-01,418999,RSXFS
2017-11-01,423224,RSXFS
2017-12-01,425545,RSXFS
2018-01-01,423202,RSXFS
2018-02-01,425507,RSXFS
2018-03-01,425087,RSXFS
2018-04-01,425899,RSXFS
2018-05-01,432340,RSXFS
2018-06-01,430008,RSXFS
2018-07-01,432070,RSXFS
2018-08-01,432031,RSXFS
2018-09-01,431438,RSXFS
2018-10-01,435894,RSXFS
2018-11-01,438612,RSXFS
2018-12-01,428932,RSXFS
2019-01-01,430246,RSXFS
2019-02-01,431194,RSXFS
2019-03-01,438196,RSXFS
2019-04-01,437735,RSXFS
2019-05-01,442514,RSXFS
2019-06-01,442116,RSXFS
