date,value,series_id
1990-01-01,1.71,USSLIND
1990-02-01,1.45,USSLIND
1990-03-01,1.67,USSLIND
1990-04-01,1.31,USSLIND
1990-05-01,1.1,USSLIND
1990-06-01,1.07,USSLIND
1990-07-01,0.64,USSLIND
1990-08-01,0.42,USSLIND
1990-09-01,-0.11,USSLIND
1990-10-01,-0.07,USSLIND
1990-11-01,-0.26,USSLIND
1990-12-01,-0.3,USSLIND
1991-01-01,-0.22,USSLIND
1991-02-01,-0.3,USSLIND
1991-03-01,-0.31,USSLIND
1991-04-01,0.05,USSLIND
1991-05-01,0.45,USSLIND
1991-06-01,0.83,USSLIND
1991-07-01,1.22,USSLIND
1991-08-01,0.91,USSLIND
1991-09-01,0.94,USSLIND
1991-10-01,0.82,USSLIND
1991-11-01,0.7,USSLIND
1991-12-01,0.73,USSLIND
1992-01-01,0.83,USSLIND
1992-02-01,1.01,USSLIND
1992-03-01,1.17,USSLIND
1992-04-01,1.28,USSLIND
1992-05-01,1.4,USSLIND
1992-06-01,1.37,USSLIND
1992-07-01,1.23,USSLIND
1992-08-01,1.31,USSLIND
1992-09-01,1.45,USSLIND
1992-10-01,1.75,USSLIND
1992-11-01,1.75,USSLIND
1992-12-01,2.18,USSLIND
1993-01-01,1.79,USSLIND
1993-02-01,2.1,USSLIND
1993-03-01,1.61,USSLIND
1993-04-01,1.64,USSLIND
1993-05-01,1.45,USSLIND
1993-06-01,1.6,USSLIND
1993-07-01,1.92,USSLIND
1993-08-01,2.0,USSLIND
1993-09-01,2.04,USSLIND
1993-10-01,1.76,USSLIND
1993-11-01,2.09,USSLIND
1993-12-01,2.26,USSLIND
1994-01-01,1.94,USSLIND
1994-02-01,1.95,USSLIND
1994-03-01,2.01,USSLIND
1994-04-01,2.2,USSLIND
1994-05-01,2.2,USSLIND
1994-06-01,2.27,USSLIND
1994-07-01,2.18,USSLIND
1994-08-01,2.4,USSLIND
1994-09-01,2.08,USSLIND
1994-10-01,2.08,USSLIND
1994-11-01,2.14,USSLIND
1994-12-01,2.13,USSLIND
1995-01-01,2.03,USSLIND
1995-02-01,1.68,USSLIND
1995-03-01,1.57,USSLIND
1995-04-01,1.19,USSLIND
1995-05-01,1.04,USSLIND
1995-06-01,1.15,USSLIND
1995-07-01,1.13,USSLIND
1995-08-01,1.62,USSLIND
1995-09-01,1.5,USSLIND
1995-10-01,1.75,USSLIND
1995-11-01,1.48,USSLIND
1995-12-01,1.46,USSLIND
1996-01-01,1.47,USSLIND
1996-02-01,1.45,USSLIND
1996-03-01,1.42,USSLIND
1996-04-01,1.67,USSLIND
1996-05-01,1.79,USSLIND
1996-06-01,2.08,USSLIND
1996-07-01,2.0,USSLIND
1996-08-01,2.0,USSLIND
1996-09-01,1.73,USSLIND
1996-10-01,1.63,USSLIND
1996-11-01,1.48,USSLIND
1996-12-01,1.45,USSLIND
1997-01-01,1.61,USSLIND
1997-02-01,1.82,USSLIND
1997-03-01,2.01,USSLIND
1997-04-01,1.91,USSLIND
1997-05-01,2.04,USSLIND
1997-06-01,1.94,USSLIND
1997-07-01,2.03,USSLIND
1997-08-01,1.58,USSLIND
1997-09-01,1.93,USSLIND
1997-10-01,2.02,USSLIND
1997-11-01,2.05,USSLIND
1997-12-01,2.09,USSLIND
1998-01-01,1.88,USSLIND
1998-02-01,1.87,USSLIND
1998-03-01,1.66,USSLIND
1998-04-01,1.88,USSLIND
1998-05-01,1.98,USSLIND
1998-06-01,1.68,USSLIND
1998-07-01,1.67,USSLIND
1998-08-01,1.69,USSLIND
1998-09-01,1.95,USSLIND
1998-10-01,1.69,USSLIND
1998-11-01,1.74,USSLIND
1998-12-01,1.89,USSLIND
1999-01-01,1.66,USSLIND
1999-02-01,1.87,USSLIND
1999-03-01,1.86,USSLIND
1999-04-01,1.8,USSLIND
1999-05-01,1.68,USSLIND
1999-06-01,1.67,USSLIND
1999-07-01,1.86,USSLIND
1999-08-01,1.74,USSLIND
1999-09-01,1.62,USSLIND
1999-10-01,1.69,USSLIND
1999-11-01,1.96,USSLIND
1999-12-01,1.9,USSLIND
2000-01-01,1.61,USSLIND
2000-02-01,1.48,USSLIND
2000-03-01,1.88,USSLIND
2000-04-01,2.13,USSLIND
2000-05-01,1.85,USSLIND
2000-06-01,1.26,USSLIND
2000-07-01,0.99,USSLIND
2000-08-01,1.05,USSLIND
2000-09-01,1.06,USSLIND
2000-10-01,1.19,USSLIND
2000-11-01,0.97,USSLIND
2000-12-01,0.8,USSLIND
2001-01-01,0.95,USSLIND
2001-02-01,0.66,USSLIND
2001-03-01,0.46,USSLIND
2001-04-01,0.26,USSLIND
2001-05-01,0.44,USSLIND
2001-06-01,0.6,USSLIND
2001-07-01,0.28,USSLIND
2001-08-01,0.39,USSLIND
2001-09-01,-0.08,USSLIND
2001-10-01,-0.32,USSLIND
2001-11-01,-0.4,USSLIND
2001-12-01,-0.05,USSLIND
2002-01-01,0.53,USSLIND
2002-02-01,0.71,USSLIND
2002-03-01,0.51,USSLIND
2002-04-01,0.61,USSLIND
2002-05-01,0.73,USSLIND
2002-06-01,0.99,USSLIND
2002-07-01,1.12,USSLIND
2002-08-01,0.91,USSLIND
2002-09-01,0.97,USSLIND
2002-10-01,0.88,USSLIND
2002-11-01,0.72,USSLIND
2002-12-01,0.66,USSLIND
2003-01-01,0.91,USSLIND
2003-02-01,0.69,USSLIND
2003-03-01,0.47,USSLIND
2003-04-01,0.26,USSLIND
2003-05-01,0.47,USSLIND
2003-06-01,0.56,USSLIND
2003-07-01,0.93,USSLIND
2003-08-01,1.13,USSLIND
2003-09-01,1.49,USSLIND
2003-10-01,1.56,USSLIND
2003-11-01,1.53,USSLIND
2003-12-01,1.78,USSLIND
2004-01-01,1.51,USSLIND
2004-02-01,1.47,USSLIND
2004-03-01,1.61,USSLIND
2004-04-01,1.64,USSLIND
2004-05-01,1.8,USSLIND
2004-06-01,1.53,USSLIND
2004-07-01,1.57,USSLIND
2004-08-01,1.47,USSLIND
2004-09-01,1.38,USSLIND
2004-10-01,1.38,USSLIND
2004-11-01,1.5,USSLIND
2004-12-01,1.37,USSLIND
2005-01-01,1.16,USSLIND
2005-02-01,1.54,USSLIND
2005-03-01,1.39,USSLIND
2005-04-01,1.64,USSLIND
2005-05-01,1.31,USSLIND
2005-06-01,1.67,USSLIND
2005-07-01,1.68,USSLIND
2005-08-01,1.78,USSLIND
2005-09-01,1.3,USSLIND
2005-10-01,1.35,USSLIND
2005-11-01,1.51,USSLIND
2005-12-01,1.7,USSLIND
2006-01-01,1.85,USSLIND
2006-02-01,1.62,USSLIND
2006-03-01,1.58,USSLIND
2006-04-01,1.43,USSLIND
2006-05-01,1.08,USSLIND
2006-06-01,1.13,USSLIND
2006-07-01,0.72,USSLIND
2006-08-01,1.01,USSLIND
2006-09-01,0.88,USSLIND
2006-10-01,1.08,USSLIND
2006-11-01,0.82,USSLIND
2006-12-01,1.0,USSLIND
2007-01-01,1.28,USSLIND
2007-02-01,1.09,USSLIND
2007-03-01,1.34,USSLIND
2007-04-01,1.04,USSLIND
2007-05-01,1.21,USSLIND
2007-06-01,0.7,USSLIND
2007-07-01,0.51,USSLIND
2007-08-01,0.55,USSLIND
2007-09-01,0.4,USSLIND
2007-10-01,0.61,USSLIND
2007-11-01,0.43,USSLIND
2007-12-01,0.25,USSLIND
2008-01-01,0.41,USSLIND
2008-02-01,0.32,USSLIND
2008-03-01,0.19,USSLIND
2008-04-01,0.18,USSLIND
2008-05-01,0.0,USSLIND
2008-06-01,-0.12,USSLIND
2008-07-01,-0.41,USSLIND
2008-08-01,-0.79,USSLIND
2008-09-01,-0.6,USSLIND
2008-10-01,-1.18,USSLIND
2008-11-01,-1.77,USSLIND
2008-12-01,-1.88,USSLIND
2009-01-01,-2.32,USSLIND
2009-02-01,-2.29,USSLIND
2009-03-01,-2.65,USSLIND
2009-04-01,-2.21,USSLIND
2009-05-01,-1.29,USSLIND
2009-06-01,-0.77,USSLIND
2009-07-01,-0.21,USSLIND
2009-08-01,-0.06,USSLIND
2009-09-01,0.3,USSLIND
2009-10-01,0.17,USSLIND
2009-11-01,0.46,USSLIND
2009-12-01,0.65,USSLIND
2010-01-01,0.54,USSLIND
2010-02-01,0.76,USSLIND
2010-03-01,1.1,USSLIND
2010-04-01,1.14,USSLIND
2010-05-01,1.42,USSLIND
2010-06-01,1.45,USSLIND
2010-07-01,1.41,USSLIND
2010-08-01,0.89,USSLIND
2010-09-01,0.51,USSLIND
2010-10-01,0.79,USSLIND
2010-11-01,1.4,USSLIND
2010-12-01,1.52,USSLIND
2011-01-01,1.43,USSLIND
2011-02-01,1.49,USSLIND
2011-03-01,1.65,USSLIND
2011-04-01,1.53,USSLIND
2011-05-01,1.3,USSLIND
2011-06-01,1.23,USSLIND
2011-07-01,1.31,USSLIND
2011-08-01,1.64,USSLIND
2011-09-01,1.38,USSLIND
2011-10-01,1.56,USSLIND
2011-11-01,1.81,USSLIND
2011-12-01,1.73,USSLIND
2012-01-01,1.97,USSLIND
2012-02-01,1.89,USSLIND
2012-03-01,1.94,USSLIND
2012-04-01,1.82,USSLIND
2012-05-01,1.73,USSLIND
2012-06-01,1.5,USSLIND
2012-07-01,1.47,USSLIND
2012-08-01,1.44,USSLIND
2012-09-01,1.62,USSLIND
2012-10-01,1.82,USSLIND
2012-11-01,1.37,USSLIND
2012-12-01,1.58,USSLIND
2013-01-01,1.71,USSLIND
2013-02-01,2.0,USSLIND
2013-03-01,1.8,USSLIND
2013-04-01,1.71,USSLIND
2013-05-01,1.67,USSLIND
2013-06-01,1.56,USSLIND
2013-07-01,1.54,USSLIND
2013-08-01,1.67,USSLIND
2013-09-01,1.75,USSLIND
